,pactivity_value,uniprot_id,canonical_smiles
6268,5.958607314841775,P25098,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
6269,5.6020599913279625,P25098,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
14539,4.301029995663981,O60885,O=C(CCCCCCC(=O)Nc1ccccc1)NO
15666,5.0,O60885,O=C(CCCCCCC(=O)Nc1ccccc1)NO
16237,9.0,P42336,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
18260,6.0,P42336,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
18258,8.301029995663981,P48736,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
19770,7.721246399047171,P48736,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
27340,5.619788758288394,P09619,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27837,7.167491087293763,P09619,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27872,5.342944147142896,P09619,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27875,4.640164517660112,P09619,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27877,6.167491087293763,P09619,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27871,4.301029995663981,P11362,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27876,4.0,P11362,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27341,4.920818753952375,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27835,4.920818753952375,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27836,4.920818753952375,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27838,6.657577319177793,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27839,4.889410289700751,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27840,4.889410289700751,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27841,4.920818753952375,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27870,7.3979400086720375,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27874,5.910094888560602,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27880,6.657577319177793,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27881,6.698970004336019,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
27882,4.889410289700751,P35968,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
59889,4.0,P00533,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
61337,4.301029995663981,P00533,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
