,100nM,1000nM,pred
491,0.0,2.14,5.464698342241714
492,2.91,4.97,5.2357700784157055
493,2.43,3.27,5.225518007595255
494,3.39,6.17,5.227374827787338
495,1.9,0.65,5.272728046220816
496,3.54,1.8,5.222116783856332
497,1.18,0.0,5.237484598659783
498,1.79,0.0,5.281862963838534
499,1.43,1.3,5.210220418072307
500,4.14,4.63,5.219029726684865
501,0.56,0.0,5.231025941301526
502,0.0,0.0,5.785014402955592
503,1.61,5.14,5.218174712836188
504,1.04,1.79,5.216790945591726
505,0.35,0.43,5.217436401681577
506,0.0,4.73,5.782519042003302
507,2.44,0.0,5.310554390780227
508,1.37,1.61,5.209686085141553
509,0.47,3.65,5.217774558864052
510,4.97,9.56,5.2798724906692955
511,0.0,0.0,5.74679850193343
512,0.0,5.51,5.52976771271655
513,5.56,4.81,5.219029726684865
514,0.0,0.97,5.45794200263332
515,3.63,2.47,5.214981886450523
516,2.86,7.9,5.289014635482647
517,1.26,1.86,5.209686085141553
518,1.96,5.06,5.218269384854589
519,0.0,1.83,5.218608680401574
520,1.3,2.25,5.21206022250751
521,1.87,2.38,5.212396437090315
522,2.32,3.2,5.219441647556594
523,0.0,0.0,5.3817130386781695
524,0.0,0.0,5.29307127347368
525,0.84,8.91,5.313510347902847
526,2.46,2.91,5.219715054581991
527,0.0,0.4,5.225712793849682
528,5.11,5.89,5.227374827787338
529,0.34,6.79,5.2822920475011985
530,1.42,3.7,5.213817806385961
531,0.0,0.48,5.352676833393597
532,0.0,0.0,5.527006847017796
533,1.52,0.0,5.275573864400663
534,1.96,1.7,5.218110027745154
535,2.07,3.24,5.255024200165055
536,0.0,0.0,5.785238940954993
537,1.47,3.62,5.213817806385961
538,0.0,1.66,5.257396882714899
539,0.0,1.12,5.608195472694136
540,0.11,2.3833333333333333,5.216016974985602
541,1.3,2.25,5.21206022250751
542,0.0,0.0,5.785238940954993
543,0.0,1.49,5.520361608118384
544,0.0,0.0,6.04432254515082
545,0.37,0.88,5.215633016753174
546,0.0,0.0,5.800621316648873
547,0.0,0.0,5.738355252137683
548,2.15,9.93,5.278162706973069
549,0.0,0.0,5.785014402955592
550,1.94,3.63,5.216444277324657
551,0.37,2.45,5.216016974985602
552,0.0,2.65,5.555339143748589
553,2.51,3.59,5.2214309700991635
554,1.16,2.44,5.222475632343859
555,0.4,1.15,5.224060856425749
556,2.09,3.61,5.218615080721165
557,1.5,1.56,5.209686085141553
558,2.14,4.23,5.218615080721165
559,2.68,2.97,5.222257536934594
560,6.27,3.54,5.219029726684865
561,2.14,5.59,5.225271287701665
562,1.99,5.75,5.226960181823638
563,1.07,1.89,5.216790945591726
564,0.0,15.57,6.446249999546066
565,2.99,0.42,5.317106329995114
566,1.52,3.43,5.21790484388205
567,0.0,3.47,5.230137988528248
568,0.9,3.9399999999999995,5.222138261625307
569,3.26,5.06,5.220854834214797
570,0.26,2.49,5.216016974985602
571,1.52,2.16,5.21206022250751
572,2.51,7.17,5.421484781491864
573,3.56,4.66,5.219029726684865
574,2.07,2.89,5.2168991652039916
575,2.41,7.47,5.479275728397027
576,3.69,5.27,5.223386633135093
577,0.0,0.92,5.366320114129816
578,1.33,1.94,5.209686085141553
579,3.02,0.0,5.334949835373151
580,3.32,3.73,5.219029726684865
581,4.5,5.46,5.223386633135093
582,1.79,6.64,5.232826012619217
583,1.23,3.42,5.21790484388205
584,1.0,2.8,5.222712602464027
585,0.0,0.0,5.300511916866086
586,0.95,1.31,5.2152303239254785
587,1.26,2.46,5.21206022250751
588,3.36,8.87,5.2798724906692955
589,1.34,1.38,5.210220418072307
590,2.26,10.99,5.674019476916127
591,2.52,1.22,5.243845235851075
592,0.0,0.0,5.231674855421404
593,3.83,1.89,5.222116783856332
594,6.11,6.48,5.2351192864165785
595,3.03,3.18,5.219856293520293
596,0.0,0.0,5.753737627831562
597,1.27,1.16,5.223414653333832
598,0.44,0.0,5.231025941301526
599,25.7,69.4,7.016417119901518
600,5.75,6.81,5.2620425780636335
601,0.81,0.0,5.2203970709524565
602,3.16,2.63,5.217313811167691
603,2.18,3.28,5.2227021182172555
