uniprot_id,hgnc_symbol,canonical_smiles,concentration_100,concentration_500,concentration_1000,concentration_5000,concentration_10000,concentration_50000,concentration_100000,concentration_1000000,activity_value
Q96Q04,LMTK3,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,,,107.89,9.880042294871004
P00533,EGFR,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,,,,,,,,38.9,8.220765718738102
Q96L34,MARK4,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,,,,,,70.57,,,4.561299467099264
Q96L34,MARK4,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,,,,,,59.93,,,4.301029995663981
P00533,EGFR,CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,50.9,,,,,,,6.858177907053004
Q96L34,MARK4,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,,,,,,42.38,,,4.301029995663981
P17252,PRKCA,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,,,,,,,,37.666666666666664,4.395242492728684
P36888,FLT3,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,,,,76.7,,100.0,,,7.443697499232713
O14757,CHEK1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,92.8,,,,,,7.111989087754972
O14920,IKBKB,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,1.45,,,,,,5.051831638272868
O14965,AURKA,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,81.47,,,,,,5.735890843694191
O15111,CHUK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,0.81300813,,,,,,5.680502523064958
O60285,NUAK1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,95.28,,,,,,7.318758762624412
O60674,JAK2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,57.79,,,,,,6.683170308505692
O96013,PAK4,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,6.58,,,,,,6.244887733604929
O96017,CHEK2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,95.805,,,,,,7.770062314092066
P00519,ABL1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,88.37,,,,,,5.792365632611038
P00533,EGFR,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,9.06,,,,,,6.76421912967244
P04049,RAF1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,-59.56,,,,,,5.0
P04626,ERBB2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,7.98,,,,,,5.0
P06213,INSR,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,86.63,,,,,,5.49742485016858
P06239,LCK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,90.39,,,,,,8.050122295963126
P06241,FYN,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,88.24,,,,,,6.82102305270683
P07333,CSF1R,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,99.5,,93.89500000000001,,,,,,7.269739003549899
P07948,LYN,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,89.0,,,,,,7.1911141326401875
P07949,RET,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,91.08,,84.8,,97.0,,6.901329942786029
P08069,IGF1R,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,63.65,,,,,,6.173601217812382
P08581,MET,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,28.49,,,,,,5.301029995663981
P08631,HCK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,89.63,,,,,,6.720618722969492
